key	español	english	missing_in
ATENCIÓN	ATENCIÓN	ATTENTION	nah
Acceso a la cámara	Camera access	Camera access	tzo+nah
Acciones sugeridas	Suggested actions	Suggested actions	tzo+nah
Aceptar	Accept	Accept	tzo+nah
Acerca la cámara directamente a una hoja de café e intenta de nuevo.	Point the camera directly at a coffee leaf and try again.	Point the camera directly at a coffee leaf and try again.	tzo+nah
Actividad	Activity	Activity	tzo+nah
Actualizar	Update	Update	tzo+nah
Agregar a Favoritos	Agregar a Favoritos	Add to Favorites	nah
Agregar a firma	Add to roster	Add to roster	tzo+nah
Agregar a lista	Add to list	Add to list	tzo+nah
Agregar farmer	Add farmer	Add farmer	tzo+nah
Agregar foto	Add photo	Add photo	tzo+nah
Agregar más usuarios	Add more users	Add more users	tzo+nah
Ahora no	Not now	Not now	tzo+nah
Ajusta tu foto	Adjust your photo	Adjust your photo	tzo+nah
Analizando la hoja...	Analyzing the leaf...	Analyzing the leaf...	tzo+nah
Apellidos	Apellidos	Last name(s)	nah
Aprende	Aprende	Learn	nah
Asignar	Assign	Assign	tzo+nah
Asignar por teléfono	Assign by phone	Assign by phone	tzo+nah
Asignar por teléfono…	Assign by phone…	Assign by phone…	tzo+nah
Asistente	Asistente	Assistant	nah
Atrás	Back	Back	tzo+nah
Bienvenido	Welcome	Welcome	tzo+nah
Bienvenido a KafeCam	Welcome to KafeCam	Welcome to KafeCam	tzo+nah
Biografía	Biografía	Biography	nah
Bitácora	Bitácora	Field Journal	nah
Borrar	Delete	Delete	tzo+nah
Buscar por nombre o teléfono	Search by name or phone	Search by name or phone	tzo+nah
Buscar usuarios...	Search users...	Search users...	tzo+nah
CONSEJO	CONSEJO	TIP	nah
Caficultor	Coffee grower	Coffee grower	tzo+nah
Caficultores	Coffee growers	Coffee growers	tzo+nah
Cancel	Cancelar	Cancel	tzo+nah
Cancelar	Cancelar	Cancel	nah
Capturar foto	Take photo	Take photo	tzo+nah
Capturas	Captures	Captures	tzo+nah
Cargando ubicación...	Loading location...	Loading location...	tzo+nah
Cerrar	Close	Close	tzo+nah
Choose description	Elegir descripción	Choose description	tzo+nah
Comenzar	Start	Start	tzo+nah
Completada	Completed	Completed	tzo+nah
Comunidad	Comunidad	Community	nah
Configuración	Configuración	Settings	nah
Confirmado	Confirmed	Confirmed	tzo+nah
Confirmar	Confirm	Confirm	tzo+nah
Confirmar contraseña	Confirm password	Confirm password	tzo+nah
Confirmar nueva contraseña	Confirm new password	Confirm new password	tzo+nah
Contacto	Contact	Contact	tzo+nah
Continuar	Continue	Continue	tzo+nah
Continuar sin cuenta	Continue without an account	Continue without an account	tzo+nah
Contraseña actual	Current password	Current password	tzo+nah
Contraseña actualizada	Password updated	Password updated	tzo+nah
Correo	Correo	Email	nah
Crear cuenta	Create account	Create account	tzo+nah
Crear lista	Create list	Create list	tzo+nah
Crear una	Create one	Create one	tzo+nah
Cámara	Camera	Camera	tzo+nah
Describe con tus palabras. Nadie conoce tu parcela mejor que tú.	Describe it in your own words. No one knows your plot better than you.	Describe it in your own words. No one knows your plot better than you.	tzo+nah
Detalle	Detalle	Details	nah
Detalle de Captura	Capture Detail	Capture Detail	tzo+nah
Detalle del farmer	Farmer detail	Farmer detail	tzo+nah
Directorio en camino	Directory on the way	Directory on the way	tzo+nah
Edad	Edad	Age	nah
Editar	Editar	Edit	nah
Editar lista	Edit list	Edit list	tzo+nah
Ej. Manchas amarillas en hojas viejas	E.g. Yellow spots on old leaves	E.g. Yellow spots on old leaves	tzo+nah
Eliminar	Delete	Delete	tzo+nah
Eliminar cuenta	Delete account	Delete account	tzo+nah
Eliminar foto	Delete photo	Delete photo	tzo+nah
Eliminar lista	Delete list	Delete list	tzo+nah
Eliminar mi cuenta	Eliminar mi cuenta	Delete my account	nah
Eliminar pin	Delete pin	Delete pin	tzo+nah
Empezar	Start	Start	tzo+nah
En tu idioma	In your language	In your language	tzo+nah
Enciclopedia de Enfermedades	Disease Encyclopedia	Disease Encyclopedia	tzo+nah
Enviar	Send	Send	tzo+nah
Enviar solicitud	Send request	Send request	tzo+nah
Error	Error	Error	tzo+nah
Escribe o habla…	Type or speak…	Type or speak…	tzo+nah
Esta acción es permanente	This action is permanent	This action is permanent	tzo+nah
Esta acción no se puede deshacer.	This action cannot be undone.	This action cannot be undone.	tzo+nah
Estado	Estado	State	nah
Estatus	Status	Status	tzo+nah
Esto tarda unos segundos	This takes a few seconds	This takes a few seconds	tzo+nah
Fecha de nacimiento	Fecha de nacimiento	Date of birth	nah
Femenino	Femenino	Female	nah
Filtrar por idioma	Filter by language	Filter by language	tzo+nah
Foto (opcional)	Photo (optional)	Photo (optional)	tzo+nah
Foto agregada	Photo added	Photo added	tzo+nah
Foto de perfil	Profile photo	Profile photo	tzo+nah
Fotos	Photos	Photos	tzo+nah
Fuentes:	Sources:	Sources:	tzo+nah
Guardar	Guardar	Save	nah
Guardar cambios	Save changes	Save changes	tzo+nah
Guardar contraseña	Save password	Save password	tzo+nah
Guardar nota	Save note	Save note	tzo+nah
Género	Género	Gender	nah
Hablar con un técnico	Talk to a technician	Talk to a technician	tzo+nah
Historial	History	History	tzo+nah
Hoy ocupado	Busy today	Busy today	tzo+nah
